Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,City,Zip Code,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date,Year,Month,Month Name,Quarter,Shipping Days,Profit Margin %,Year-Month
11,66,2012-01-19,Low,41,108.15,0.09,Regular Air,7.57,2.88,0.7,Arthur Gainer,Santa Fe,87505,New Mexico,West,Consumer,Office Supplies,Pens & Art Supplies,Newell 340,Wrap Bag,0.56,2012-01-19,2012,1,January,Q1,0,6.99953767914933,2012-01
12,69,2012-06-02,Not Specified,42,1186.06,0.09,Regular Air,511.69,30.93,3.92,Jonathan Doherty,Garner,27529,North Carolina,South,Corporate,Furniture,Office Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Small Pack,0.44,2012-06-04,2012,6,June,Q2,2,43.14199956157361,2012-06
13,69,2012-06-02,Not Specified,28,51.53,0.03,Express Air,0.35,1.68,0.7,Jonathan Doherty,Garner,27529,North Carolina,South,Corporate,Office Supplies,Pens & Art Supplies,Newell 308,Wrap Bag,0.6,2012-06-04,2012,6,June,Q2,2,0.6792159906850378,2012-06
14,70,2013-12-16,Low,48,90.05,0.03,Regular Air,-107.0,1.86,2.58,Helen Wasserman,East Meadow,11554,New York,East,Home Office,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",Wrap Bag,0.82,2013-12-21,2013,12,December,Q4,5,-118.82287617990006,2013-12
15,70,2013-12-16,Low,46,7804.53,0.05,Regular Air,2057.1659999999997,205.99,5.99,Helen Wasserman,East Meadow,11554,New York,East,Home Office,Technology,Telephones and Communication,3285,Small Box,0.59,2013-12-21,2013,12,December,Q4,5,26.358614804478936,2013-12
16,96,2012-04-15,High,37,4158.1235,0.01,Regular Air,1228.8870000000002,125.99,8.99,Keith Dawkins,Little Rock,72209,Arkansas,South,Home Office,Technology,Telephones and Communication,SC7868i,Small Box,0.55,2012-04-17,2012,4,April,Q2,2,29.553884101806986,2012-04
17,97,2013-01-27,Medium,26,75.57,0.03,Regular Air,28.24,2.89,0.5,Craig Yedwab,Prescott Valley,86314,Arizona,West,Consumer,Office Supplies,Labels,Avery 498,Small Box,0.38,2013-01-28,2013,1,January,Q1,1,37.36932645229589,2013-01
18,129,2015-11-18,Low,4,32.72,0.09,Regular Air,-22.59,6.48,8.19,Pauline Chand,Moore,73160,Oklahoma,Central,Corporate,Office Supplies,Paper,Xerox 217,Small Box,0.37,2015-11-27,2015,11,November,Q4,9,-69.04034229828852,2015-11
19,130,2015-05-07,High,3,461.89,0.05,Express Air,-309.8244,150.98,13.99,Roy Collins,Cleveland,37311,Tennessee,South,Corporate,Technology,Office Machines,Canon MP41DH Printing Calculator,Medium Box,0.38,2015-05-09,2015,5,May,Q2,2,-67.07752928186366,2015-05
20,130,2015-05-07,High,29,575.11,0.02,Regular Air,71.75,18.97,9.03,Roy Collins,Cleveland,37311,Tennessee,South,Corporate,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,2015-05-08,2015,5,May,Q2,1,12.475874180591537,2015-05
21,130,2015-05-07,High,23,236.46,0.05,Regular Air,-134.31,9.71,9.45,Roy Collins,Cleveland,37311,Tennessee,South,Corporate,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,Small Box,0.6,2015-05-10,2015,5,May,Q2,3,-56.80030449124588,2015-05
22,132,2013-06-09,Medium,27,192.814,0.03,Regular Air,-86.196,7.99,5.03,Emily Phan,Avenel,07001,New Jersey,East,Consumer,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,2013-06-10,2013,6,June,Q2,1,-44.70422272241642,2013-06
23,132,2013-06-09,Medium,30,4011.65,0.05,Delivery Truck,-603.8,130.98,54.74,Emily Phan,Lewiston,04240,Maine,East,Consumer,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,0.69,2013-06-12,2013,6,June,Q2,3,-15.051163486346017,2013-06
24,134,2015-04-30,Not Specified,11,1132.6,0.01,Regular Air,-310.21,95.99,35.0,Michael Dominguez,Brookfield,53005,Wisconsin,Central,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,Large Box,0.52,2015-05-02,2015,4,April,Q2,2,-27.38919300723998,2015-04
25,135,2014-10-19,Not Specified,25,125.85,0.09,Regular Air,-89.25,4.98,4.62,Anne Pryor,Troy,12180,New York,East,Consumer,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.64,2014-10-21,2014,10,October,Q4,2,-70.91775923718713,2014-10
26,166,2014-09-10,High,10,567.9359999999999,0.02,Express Air,-126.09299999999999,65.99,8.99,Valerie Takahito,Tamarac,33319,Florida,South,Consumer,Technology,Telephones and Communication,i270,Small Box,0.55,2014-09-12,2014,9,September,Q3,2,-22.201973461798513,2014-09
27,193,2013-08-06,Critical,14,174.89,0.06,Regular Air,-37.04,12.44,6.27,Justin Hirsh,Bethpage,11714,New York,East,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,Medium Box,0.57,2013-08-08,2013,8,August,Q3,2,-21.17902681685631,2013-08
28,194,2015-04-04,Medium,49,329.03,0.1,Regular Air,-197.25,7.28,7.98,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Furniture,Office Furnishings,"Master Caster Door Stop, Large Neon Orange",Wrap Bag,0.42,2015-04-06,2015,4,April,Q2,2,-59.9489408260645,2015-04
29,194,2015-04-04,Medium,6,20.19,0.04,Regular Air,-13.44,3.14,1.92,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,0.84,2015-04-06,2015,4,April,Q2,2,-66.56760772659732,2015-04
30,195,2013-12-26,Medium,34,1315.74,0.03,Regular Air,260.87,36.55,13.89,Brad Thomas,Long Beach,90805,California,West,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,0.41,2013-12-28,2013,12,December,Q4,2,19.826865490142428,2013-12
31,197,2014-04-05,High,23,310.52,0.01,Regular Air,33.22,12.98,3.14,Penelope Sewall,Miramar,33023,Florida,South,Home Office,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors",Small Pack,0.6,2014-04-07,2014,4,April,Q2,2,10.698183691871698,2014-04
32,224,2012-06-16,Not Specified,25,184.86,0.09,Regular Air,-33.95,7.38,5.21,Bart Folk,Lemon Grove,91945,California,West,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.56,2012-06-17,2012,6,June,Q2,1,-18.365249377907606,2012-06
33,224,2012-06-16,Not Specified,44,267.85,0.04,Regular Air,-65.43,5.98,5.15,Bart Folk,Lemon Grove,91945,California,West,Corporate,Office Supplies,Paper,Xerox 193,Small Box,0.36,2012-06-17,2012,6,June,Q2,1,-24.42785140937092,2012-06
34,224,2012-06-16,Not Specified,33,528.5,0.04,Regular Air,-149.92,15.42,10.68,Bart Folk,Lemon Grove,91945,California,West,Corporate,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58,2012-06-17,2012,6,June,Q2,1,-28.36707663197729,2012-06
35,225,2014-05-23,Critical,24,126.58,0.06,Regular Air,18.27,5.58,0.7,Karen Ferguson,Holbrook,11741,New York,East,Home Office,Office Supplies,Pens & Art Supplies,Newell 314,Wrap Bag,0.6,2014-05-24,2014,5,May,Q2,1,14.433559804076474,2014-05
36,225,2014-05-23,Critical,1,23.7,0.05,Regular Air,-8.97,19.84,4.1,Karen Ferguson,Holbrook,11741,New York,East,Home Office,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,2014-05-25,2014,5,May,Q2,2,-37.848101265822784,2014-05
37,229,2013-12-27,Critical,43,586.11,0.11,Regular Air,98.44,12.64,4.98,Matt Abelman,Blaine,55434,Minnesota,Central,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame,Small Pack,0.48,2013-12-29,2013,12,December,Q4,2,16.795482076743273,2013-12
38,229,2013-12-27,Critical,24,599.1,0.02,Regular Air,3.8164999999999956,24.92,12.98,Peter Fuller,Atlanta,30318,Georgia,South,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,0.39,2013-12-28,2013,12,December,Q4,1,0.6370388916708388,2013-12
39,230,2013-10-25,Critical,47,2029.75,0.06,Regular Air,320.37,43.98,8.99,Erin Creighton,Burleson,76028,Texas,Central,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,0.58,2013-10-27,2013,10,October,Q4,2,15.78371720655253,2013-10
40,230,2013-10-25,Critical,11,1118.396,0.06,Regular Air,-212.333,125.99,8.08,Erin Creighton,Burleson,76028,Texas,Central,Corporate,Technology,Telephones and Communication,StarTAC ST7762,Small Box,0.57,2013-10-27,2013,10,October,Q4,2,-18.98549351034875,2013-10
41,231,2012-09-27,High,2,689.74,0.06,Regular Air,-490.84,363.25,19.99,Sean Braxton,Hollywood,33021,Florida,South,Small Business,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,Small Box,0.57,2012-09-29,2012,9,September,Q3,2,-71.16304694522573,2012-09
42,258,2013-12-27,Critical,21,154.35,0.0,Regular Air,-91.14,6.48,8.74,Liz Willingham,Auburn,04210,Maine,East,Home Office,Office Supplies,Paper,Xerox 1984,Small Box,0.36,2013-12-29,2013,12,December,Q4,2,-59.04761904761905,2013-12
43,258,2013-12-27,Critical,7,201.36,0.0,Delivery Truck,-284.4,20.98,53.03,Liz Willingham,Brunswick,04011,Maine,East,Home Office,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.78,2013-12-28,2013,12,December,Q4,1,-141.23957091775924,2013-12
44,258,2013-12-27,Critical,33,216.77,0.02,Regular Air,-55.108000000000004,6.54,5.27,Liz Willingham,Hudson,03051,New Hampshire,East,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,Small Box,0.36,2013-12-29,2013,12,December,Q4,2,-25.422337039258203,2013-12
45,261,2013-06-27,Medium,47,5677.6089999999995,0.04,Regular Air,1680.786,140.99,4.2,Sonia Sunley,Garden City,67846,Kansas,Central,Small Business,Technology,Telephones and Communication,7160,Small Box,0.59,2013-06-28,2013,6,June,Q2,1,29.603764542433268,2013-06
46,263,2012-05-15,High,25,136.77,0.09,Regular Air,-136.252,5.4,7.78,Paul Lucas,Davis,95616,California,West,Corporate,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Small Box,0.37,2012-05-16,2012,5,May,Q2,1,-99.62126197265482,2012-05
47,290,2012-01-05,Not Specified,24,188.73,0.05,Regular Air,-32.48,7.64,5.83,Dorris Love,Deer Park,11729,New York,East,Home Office,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Wrap Bag,0.36,2012-01-06,2012,1,January,Q1,1,-17.209770571716206,2012-01
48,292,2015-01-11,High,43,412.62,0.08,Regular Air,175.54,9.9,1.39,Valerie Takahito,Taylors,29687,South Carolina,South,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37,2015-01-12,2015,1,January,Q1,1,42.54277543502496,2015-01
49,293,2015-10-01,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Tinley Park,60477,Illinois,Central,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,2015-10-02,2015,10,October,Q4,1,4.522464639998736,2015-10
50,293,2015-10-01,High,27,244.57,0.01,Regular Air,46.7075,8.69,2.99,Barry French,Tinley Park,60477,Illinois,Central,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2015-10-03,2015,10,October,Q4,2,19.097804309604612,2015-10
51,294,2013-07-14,Medium,35,6375.28,0.06,Regular Air,489.02,193.17,19.99,Sanjit Chand,Urbandale,50322,Iowa,Central,Home Office,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files,Small Box,0.71,2013-07-15,2013,7,July,Q3,1,7.670565057534729,2013-07
52,322,2015-03-18,Critical,20,2634.8554999999997,0.08,Regular Air,257.76,155.99,8.08,Giulietta Weimer,Allen Park,48101,Michigan,Central,Corporate,Technology,Telephones and Communication,I888 World Phone,Small Box,0.6,2015-03-20,2015,3,March,Q1,2,9.782699658482223,2015-03
53,322,2015-03-18,Critical,46,281.0,0.1,Regular Air,-291.59,6.48,10.05,Giulietta Weimer,Ann Arbor,48104,Michigan,Central,Corporate,Office Supplies,Paper,Xerox 1997,Small Box,0.37,2015-03-20,2015,3,March,Q1,2,-103.76868327402133,2015-03
54,323,2012-03-24,Critical,20,108.09,0.07,Regular Air,25.76,5.68,1.39,Dario Medina,Scottsdale,85254,Arizona,West,Small Business,Office Supplies,Envelopes,Staples Standard Envelopes,Small Box,0.38,2012-03-26,2012,3,March,Q1,2,23.83199185863632,2012-03
55,323,2012-03-24,Critical,2,55.34,0.06,Regular Air,-31.24,22.84,11.54,Dario Medina,Scottsdale,85254,Arizona,West,Small Business,Office Supplies,Paper,Xerox 1964,Small Box,0.39,2012-03-26,2012,3,March,Q1,2,-56.45102999638597,2012-03
56,324,2015-03-19,Critical,25,3872.634,0.02,Regular Air,667.332,179.99,13.99,Frank Gastineau,Sanford,27237,North Carolina,South,Small Business,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Medium Box,0.57,2015-03-21,2015,3,March,Q1,2,17.231992488833182,2015-03
57,325,2013-10-15,Low,9,884.1275,0.06,Regular Air,-178.70600000000002,115.99,4.23,Craig Yedwab,Sanford,04073,Maine,East,Corporate,Technology,Telephones and Communication,282,Small Box,0.56,2013-10-19,2013,10,October,Q4,4,-20.21269556709864,2013-10
58,326,2014-06-02,High,34,218.27,0.03,Regular Air,-44.137,5.99,4.92,Michelle Tran,Columbia,21044,Maryland,East,Consumer,Office Supplies,Binders and Binder Accessories,"DXL™ Angle-View Binders with Locking Rings, Black",Small Box,0.38,2014-06-03,2014,6,June,Q2,1,-20.22128556375132,2014-06
59,326,2014-06-02,High,17,100.95,0.05,Regular Air,-21.3,5.81,3.37,Michelle Tran,Crofton,21114,Maryland,East,Consumer,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head",Wrap Bag,0.54,2014-06-03,2014,6,June,Q2,1,-21.099554234769688,2014-06
60,353,2013-12-29,Low,21,46.94,0.02,Regular Air,3.88,2.21,1.0,Dean Percer,Redwood City,94061,California,West,Home Office,Office Supplies,Pens & Art Supplies,"Quartet Alpha® White Chalk, 12/Pack",Wrap Bag,0.38,2014-03-31,2013,12,December,Q4,92,8.265871325095867,2013-12
61,355,2012-06-12,Low,16,1239.6315,0.0,Regular Air,-172.54600000000002,85.99,0.99,Henry MacAllister,College Station,77840,Texas,Central,Small Business,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,2012-06-17,2012,6,June,Q2,5,-13.919136453050768,2012-06
62,358,2013-09-18,High,33,1640.9,0.02,Delivery Truck,-1348.06,48.58,54.11,Ricardo Block,Lewiston,83501,Idaho,West,Corporate,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Jumbo Box,0.69,2013-09-20,2013,9,September,Q3,2,-82.15369614236089,2013-09
63,358,2013-09-18,High,33,1235.87,0.07,Regular Air,269.27,39.48,1.99,Ricardo Block,Lewiston,83501,Idaho,West,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,2013-09-18,2013,9,September,Q3,0,21.78789031208784,2013-09
64,359,2012-12-17,Medium,30,3659.66,0.08,Delivery Truck,-500.38,124.49,51.94,Cari Sayre,Pleasant Grove,84062,Utah,West,Corporate,Furniture,Tables,Bevis 36 x 72 Conference Tables,Jumbo Box,0.63,2012-12-18,2012,12,December,Q4,1,-13.67285485536908,2012-12
65,384,2015-03-02,Low,50,7666.04,0.02,Delivery Truck,-1820.84,146.05,80.2,Sonia Cooley,Bend,97701,Oregon,West,Corporate,Furniture,Tables,BPI Conference Tables,Jumbo Box,0.71,2015-03-09,2015,3,March,Q1,7,-23.752028426671394,2015-03
66,386,2014-01-23,High,4,14.96,0.02,Regular Air,-0.03000000000000025,3.69,0.5,Tracy Poddar,Mount Vernon,43050,Ohio,East,Corporate,Office Supplies,Labels,Avery 501,Small Box,0.38,2014-01-25,2014,1,January,Q1,2,-0.20053475935829043,2014-01
67,386,2014-01-23,High,4,15.69,0.09,Regular Air,-1.59,3.85,0.7,Tracy Poddar,Mount Vernon,43050,Ohio,East,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Wrap Bag,0.44,2014-01-25,2014,1,January,Q1,2,-10.133843212237094,2014-01
68,388,2015-12-15,Not Specified,46,517.93,0.06,Regular Air,-94.73,11.7,6.96,Jennifer Halladay,Bartlesville,74006,Oklahoma,Central,Home Office,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Medium Box,0.5,2015-12-18,2015,12,December,Q4,3,-18.29011642499952,2015-12
69,416,2013-09-25,Low,20,1156.6715,0.01,Express Air,88.524,65.99,7.69,Stuart Calhoun,Grove City,43123,Ohio,East,Consumer,Technology,Telephones and Communication,5190,Small Box,0.59,2013-09-30,2013,9,September,Q3,5,7.653339777110442,2013-09
70,417,2012-02-05,Medium,39,15260.78,0.07,Delivery Truck,8734.88,500.98,28.14,Robert Barroso,East Los Angeles,90022,California,West,Small Business,Technology,Office Machines,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Jumbo Drum,0.38,2012-02-06,2012,2,February,Q1,1,57.23744133655029,2012-02
71,417,2012-02-05,Medium,3,540.41,0.1,Regular Air,-170.98,178.47,19.99,Robert Barroso,East Los Angeles,90022,California,West,Small Business,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand",Small Box,0.55,2012-02-07,2012,2,February,Q1,2,-31.638940804204214,2012-02
72,420,2014-10-29,Not Specified,8,43.29,0.09,Regular Air,-20.69,4.98,4.86,Tony Sayre,Marysville,98270,Washington,West,Small Business,Office Supplies,Paper,Xerox 190,Small Box,0.38,2014-10-29,2014,10,October,Q4,0,-47.7939477939478,2014-10
73,420,2014-10-29,Not Specified,6,41.7,0.03,Regular Air,-14.56,5.78,5.37,Tony Sayre,Marysville,98270,Washington,West,Small Business,Office Supplies,Paper,Xerox 1950,Small Box,0.36,2014-10-31,2014,10,October,Q4,2,-34.91606714628297,2014-10
74,448,2014-08-19,Medium,22,1162.4005,0.09,Regular Air,-284.625,65.99,19.99,Brad Thomas,Long Beach,90805,California,West,Corporate,Technology,Telephones and Communication,iDENi80s,Small Box,0.59,2014-08-21,2014,8,August,Q3,2,-24.485966755864265,2014-08
75,449,2014-07-18,High,45,356.7,0.02,Regular Air,-48.97,7.38,5.21,Candace McMahon,San Marcos,78666,Texas,Central,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.56,2014-07-20,2014,7,July,Q3,2,-13.728623493131483,2014-07
76,450,2014-03-03,Not Specified,29,1000.78,0.05,Express Air,109.33,34.58,8.99,Matt Collins,Fort Dodge,50501,Iowa,Central,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Small Pack,0.56,2014-03-04,2014,3,March,Q1,1,10.924478906452967,2014-03
77,450,2014-03-03,Not Specified,35,543.72,0.05,Regular Air,-211.13,15.7,11.25,Matt Collins,Fort Dodge,50501,Iowa,Central,Consumer,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,2014-03-05,2014,3,March,Q1,2,-38.83064812771279,2014-03
78,454,2014-12-25,Low,42,234.2,0.09,Regular Air,56.22,6.08,1.82,Darrin Martin,Altoona,16602,Pennsylvania,East,Small Business,Office Supplies,Rubber Bands,Staples Bulk Pack Metal Binder Clips,Wrap Bag,0.35,2014-12-27,2014,12,December,Q4,2,24.005123825789923,2014-12
79,481,2015-10-07,High,44,4509.3775,0.01,Regular Air,1426.257,115.99,5.26,Art Foster,Highlands Ranch,80126,Colorado,West,Home Office,Technology,Telephones and Communication,636,Small Box,0.57,2015-10-09,2015,10,October,Q4,2,31.62868932574397,2015-10
80,483,2014-07-09,High,30,4965.759499999999,0.08,Regular Air,1198.971,195.99,3.99,Clay Rozendal,Rock Island,61201,Illinois,Central,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,2014-07-11,2014,7,July,Q3,2,24.14476577047278,2014-07
81,487,2015-08-17,Critical,19,210.4,0.07,Regular Air,-18.96,10.89,4.5,Valerie Dominguez,Orlando,32839,Florida,South,Corporate,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Small Box,0.59,2015-08-18,2015,8,August,Q3,1,-9.011406844106464,2015-08
82,512,2014-05-18,Low,6,1309.53,0.06,Regular Air,19.17999999999995,218.08,18.06,Sam Craven,East Point,30344,Georgia,South,Home Office,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,2014-05-18,2014,5,May,Q2,0,1.4646476216657847,2014-05
83,512,2014-05-18,Low,48,806.37,0.01,Express Air,-166.4,15.42,10.68,Sam Craven,East Point,30344,Georgia,South,Home Office,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58,2014-05-20,2014,5,May,Q2,2,-20.635688331659164,2014-05
84,513,2014-04-29,High,33,5437.92,0.0,Delivery Truck,-684.57,150.89,60.2,Arthur Prichep,Cleveland,44105,Ohio,East,Home Office,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy",Jumbo Drum,0.77,2014-04-29,2014,4,April,Q2,0,-12.588820725571543,2014-04
85,515,2013-08-27,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Wheeling,60090,Illinois,Central,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2013-08-29,2013,8,August,Q3,2,7.847414208537297,2013-08
86,515,2013-08-27,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Wilmette,60091,Illinois,Central,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,2013-08-29,2013,8,August,Q3,2,3.019974095030336,2013-08
87,548,2012-09-19,Critical,41,129.49,0.04,Regular Air,36.02,3.08,0.99,Sung Chung,Murray,42071,Kentucky,South,Home Office,Office Supplies,Labels,Avery 481,Small Box,0.37,2012-09-20,2012,9,September,Q3,1,27.816819831647233,2012-09
88,548,2012-09-19,Critical,29,202.95,0.02,Regular Air,-50.64,6.48,5.9,Sung Chung,Murray,42071,Kentucky,South,Home Office,Office Supplies,Paper,Xerox 1976,Small Box,0.37,2012-09-20,2012,9,September,Q3,1,-24.951958610495197,2012-09
89,548,2012-09-19,Critical,26,2753.1925,0.04,Regular Air,510.48900000000003,125.99,4.2,Sung Chung,Murray,42071,Kentucky,South,Home Office,Technology,Telephones and Communication,V3682,Small Box,0.59,2012-09-21,2012,9,September,Q3,2,18.54171112263309,2012-09
90,549,2015-07-12,Critical,13,70.24,0.03,Regular Air,-59.75,4.98,7.44,Ken Brennan,Monroeville,15146,Pennsylvania,East,Consumer,Office Supplies,Paper,Xerox 1922,Small Box,0.36,2015-07-13,2015,7,July,Q3,1,-85.06548974943054,2015-07
91,549,2015-07-12,Critical,5,40.75,0.05,Regular Air,-27.57,6.48,8.74,Ken Brennan,Monroeville,15146,Pennsylvania,East,Consumer,Office Supplies,Paper,Xerox 1984,Small Box,0.36,2015-07-13,2015,7,July,Q3,1,-67.65644171779141,2015-07
